Date,Open,High,Low,Close,Adj Close,Volume
2018-12-14,8500.000000,8500.000000,8400.000000,8450.000000,8274.592773,36739100
2018-12-17,8450.000000,8450.000000,8250.000000,8300.000000,8127.706543,37179000
2018-12-18,8200.000000,8375.000000,8200.000000,8375.000000,8201.149414,27136700
2018-12-19,8350.000000,8450.000000,8325.000000,8425.000000,8250.111328,29886700
2018-12-20,8325.000000,8525.000000,8325.000000,8475.000000,8299.073242,24652800
2018-12-21,8450.000000,8450.000000,8300.000000,8425.000000,8250.111328,31157200
2018-12-24,8425.000000,8425.000000,8425.000000,8425.000000,8250.111328,0
2018-12-25,8425.000000,8425.000000,8425.000000,8425.000000,8250.111328,0
2018-12-26,8250.000000,8300.000000,8125.000000,8125.000000,7956.338867,19355100
2018-12-27,8300.000000,8325.000000,8175.000000,8225.000000,8054.263184,25748300
2018-12-28,8275.000000,8400.000000,8225.000000,8225.000000,8054.263184,24480400
2018-12-31,8225.000000,8225.000000,8225.000000,8225.000000,8054.263184,0
2019-01-01,8225.000000,8225.000000,8225.000000,8225.000000,8054.263184,0
2019-01-02,8200.000000,8275.000000,8125.000000,8200.000000,8029.782227,14014100
2019-01-03,8100.000000,8400.000000,8100.000000,8375.000000,8201.149414,25148400
2019-01-04,8400.000000,8450.000000,8200.000000,8350.000000,8176.668457,32475900
2019-01-07,8450.000000,8475.000000,8150.000000,8150.000000,7980.820313,32649700
2019-01-08,8150.000000,8225.000000,8125.000000,8175.000000,8005.301270,29130800
2019-01-09,8225.000000,8275.000000,8150.000000,8200.000000,8029.782227,42977800
2019-01-10,8175.000000,8200.000000,7950.000000,8200.000000,8029.782227,76803900
2019-01-11,8300.000000,8300.000000,8225.000000,8300.000000,8127.706543,32212200
2019-01-14,8225.000000,8225.000000,8050.000000,8150.000000,7980.820313,40449800
2019-01-15,8150.000000,8150.000000,8050.000000,8150.000000,7980.820313,56524700
2019-01-16,8175.000000,8250.000000,8125.000000,8250.000000,8078.744141,33593600
2019-01-17,8250.000000,8325.000000,8200.000000,8275.000000,8103.225098,38888100
2019-01-18,8300.000000,8475.000000,8275.000000,8475.000000,8299.073242,45180500
2019-01-21,8475.000000,8550.000000,8300.000000,8325.000000,8152.187500,39949600
2019-01-22,8375.000000,8375.000000,8150.000000,8200.000000,8029.782227,33129500
2019-01-23,8200.000000,8275.000000,8175.000000,8175.000000,8005.301270,26554900
2019-01-24,8225.000000,8450.000000,8225.000000,8425.000000,8250.111328,56764700
2019-01-25,8475.000000,8475.000000,8275.000000,8425.000000,8250.111328,27967500
2019-01-28,8450.000000,8450.000000,8275.000000,8375.000000,8201.149414,25672700
2019-01-29,8375.000000,8400.000000,8275.000000,8375.000000,8201.149414,34675500
2019-01-30,8275.000000,8375.000000,8225.000000,8350.000000,8176.668457,40835000
2019-01-31,8375.000000,8450.000000,8325.000000,8450.000000,8274.592773,49304900
